FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
CPTI11,FUNDO DE DESENVOLVIMENTO,"99,75","1.323.029,19",N/A,"1,00","1,00 %","3,03 %","6,73 %","12,60 %","1,01 %","1,12 %","1,05 %","12,60 %","1,79 %","2,80 %","15,20 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"9,34",0,N/A,N/A,N/A
CPTR11,INDEFINIDO,"9,10","1.385.433,48","0,93","0,11","1,18 %","3,05 %","3,44 %","4,31 %","1,02 %","0,57 %","0,36 %","4,16 %","-2,73 %","-1,58 %","-90,56 %","404.799.862,54","9,78","0,93","1,07 %","-90,09 %","-89,98 %","-89,84 %",0,"91,21",28.155,N/A,N/A,N/A
CPTS11,PAPÉIS,"8,60","6.073.100,76","0,95","0,06","0,77 %","2,16 %","5,06 %","10,72 %","0,72 %","0,84 %","0,89 %","10,00 %","-0,75 %","0,01 %","8,28 %","2.873.494.666,50","9,04","0,95","0,67 %","-89,82 %","-89,75 %","-89,64 %",0,"15,30",295.246,N/A,N/A,N/A
CRAA11,INDEFINIDO,"100,37","134.363,67","0,99","1,20","1,19 %","3,69 %","7,67 %","12,20 %","1,23 %","1,28 %","1,53 %","12,20 %","-0,50 %","0,68 %","9,61 %","50.175.296,29","101,40","0,99","1,18 %","0,00 %","0,00 %","0,00 %",0,"5,99",1.787,N/A,N/A,N/A
CRFF11,FUNDO DE FUNDOS,"76,50","133.932,05","0,88","0,65","0,84 %","2,42 %","4,72 %","10,14 %","0,81 %","0,79 %","0,85 %","10,14 %","-1,36 %","-0,53 %","32,36 %","61.120.415,24","88,58","0,86","0,72 %","5,45 %","6,21 %","12,16 %",0,"27,12",1.483,N/A,N/A,N/A
CSMC11,INDEFINIDO,N/A,N/A,N/A,"20,67","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"559.050.017,94",N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,1,N/A,N/A,N/A
CTXT11,LAJES CORPORATIVAS,"11,49","2.597,10","0,37","0,01","0,04 %","0,64 %","1,14 %","4,78 %","0,21 %","0,19 %","0,40 %","1,01 %","1,00 %","1,04 %","-48,00 %","105.813.069,71","48,33","0,24","0,19 %","-0,10 %","0,09 %","0,54 %",1,"33,90",2.798,N/A,N/A,N/A
CVBI11,PAPÉIS,"94,09","2.531.520,48","0,97","0,80","0,89 %","2,46 %","5,44 %","12,59 %","0,82 %","0,91 %","1,05 %","11,38 %","-2,22 %","-1,35 %","9,96 %","1.055.848.640,14","95,90","0,98","0,83 %","2,17 %","3,03 %","9,92 %",0,"13,64",88.084,N/A,N/A,N/A
CVPR11,INDEFINIDO,N/A,N/A,N/A,"0,85","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"14.055.125,20",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,2,N/A,N/A,N/A
CXAG11,AGÊNCIAS DE BANCOS,"82,00","155.273,43","0,71","0,77","0,95 %","2,74 %","5,26 %","11,11 %","0,91 %","0,88 %","0,93 %","11,11 %","2,96 %","3,94 %","17,52 %","241.771.585,56","115,65","0,71","0,61 %","0,87 %","1,49 %","20,82 %",32,"11,69",12.103,N/A,N/A,N/A
CXCE11B,LAJES CORPORATIVAS,"44,60","22.404,43","0,69","0,43","0,96 %","2,99 %","5,78 %","11,78 %","1,00 %","0,96 %","0,98 %","11,78 %","3,54 %","4,53 %","19,99 %","110.136.544,08","64,30","0,69","0,66 %","-1,98 %","-1,33 %","-0,18 %",1,"17,65",3.650,N/A,N/A,N/A
CXCI11,INDEFINIDO,"86,17","162.318,48","0,92","0,85","1,00 %","2,95 %","5,84 %","12,29 %","0,98 %","0,97 %","1,02 %","11,21 %","-1,25 %","-0,26 %","24,51 %","192.793.593,50","93,69","0,92","0,91 %","0,62 %","1,54 %","3,72 %",0,"13,92",5.341,N/A,N/A,N/A
CXCO11,LAJES CORPORATIVAS,"79,20","164.162,95","0,80","0,73","0,91 %","2,85 %","5,49 %","12,33 %","0,95 %","0,92 %","1,03 %","12,33 %","4,40 %","5,35 %","28,02 %","389.745.001,53","99,31","0,80","0,74 %","0,01 %","0,75 %","13,53 %",10,"16,02",14.148,N/A,N/A,N/A
CXRI11,FUNDO DE FUNDOS,"76,82","25.777,62","0,88","0,59","0,74 %","2,21 %","4,31 %","9,46 %","0,74 %","0,72 %","0,79 %","9,46 %","2,28 %","3,03 %","39,51 %","141.375.061,40","89,72","0,86","0,65 %","8,55 %","9,26 %","14,33 %",3,"23,90",2.252,N/A,N/A,N/A
CXTL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"238,39","14.700,60","0,57","2,10","0,86 %","2,17 %","4,02 %","20,66 %","0,72 %","0,67 %","1,72 %","29,18 %","3,83 %","4,73 %","-26,03 %","22.326.909,44","416,57","0,57","0,41 %","-14,90 %","-14,55 %","-28,36 %",1,"49,37",708,N/A,N/A,N/A
CYCR11,INDEFINIDO,"9,51","298.053,76","0,98","0,11","1,12 %","3,27 %","6,48 %","13,70 %","1,09 %","1,08 %","1,14 %","13,70 %","4,82 %","6,00 %","25,64 %","159.478.512,76","9,77","0,97","1,02 %","2,41 %","3,46 %","-88,84 %",0,"12,72",14.056,N/A,N/A,N/A
DAMT11B,SHOPPINGS,"13,10","18.425,14","1,04","0,04","0,33 %","1,00 %","2,26 %","6,12 %","0,33 %","0,38 %","0,51 %","6,12 %","-17,00 %","-16,72 %","-13,43 %","96.056.914,44",N/A,N/A,N/A,N/A,N/A,N/A,1,"84,45",570,N/A,N/A,N/A
DCRA11,MISTO,"9,09","243.428,81",N/A,"0,10","1,09 %","3,66 %","7,58 %","15,53 %","1,22 %","1,26 %","1,29 %","14,23 %","-2,02 %","-0,96 %","14,81 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"10,13",0,N/A,N/A,N/A
DEVA11,PAPÉIS,"43,12","1.613.403,48","0,44","0,47","1,06 %","3,50 %","6,31 %","13,70 %","1,17 %","1,05 %","1,14 %","12,56 %","1,73 %","2,80 %","-45,39 %","1.378.859.303,37","98,18","0,44","0,48 %","-3,08 %","-2,62 %","16,77 %",0,"42,37",125.985,N/A,N/A,N/A
DLMT11,VAREJO,N/A,N/A,N/A,"0,01","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"8.512.081,35",N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,9,N/A,N/A,N/A
DPRO11,INDEFINIDO,"8,09","15.936,48","0,87","0,06","0,60 %","8,36 %","16,68 %","53,00 %","2,79 %","2,78 %","4,42 %","42,45 %","8,24 %","8,88 %","-87,23 %","47.022.667,86",N/A,N/A,N/A,N/A,N/A,N/A,1,"1.152,15",284,N/A,N/A,N/A
DRIT11B,LAJES CORPORATIVAS,"83,30","1.547,00","0,63","0,39","0,00 %","0,41 %","2,28 %","5,25 %","0,14 %","0,38 %","0,44 %","5,25 %","0,00 %","0,00 %",N/A,"61.515.230,44","132,78","0,63","0,29 %","0,32 %","0,61 %","9,10 %",4,"59,32",350,N/A,N/A,N/A
DVFF11,FUNDO DE FUNDOS,"8,28","144.685,71","0,88","0,08","0,92 %","2,84 %","5,54 %","11,90 %","0,95 %","0,92 %","0,99 %","10,78 %","0,99 %","1,92 %","27,23 %","102.206.709,32","9,28","0,89","0,81 %","-89,81 %","-89,73 %","-88,79 %",0,"23,03",921,N/A,N/A,N/A
EDFO11B,LAJES CORPORATIVAS,"229,98","7.938,50","1,27","1,69","0,00 %","0,00 %","1,84 %","7,05 %","0,00 %","0,31 %","0,59 %","7,05 %","0,00 %","0,00 %",N/A,"42.637.015,03","180,67","1,27","0,98 %","-5,84 %","-4,92 %","3,53 %",1,"56,91",537,N/A,N/A,N/A
EDGA11,LAJES CORPORATIVAS,"21,53","18.624,52","0,35","0,07","0,31 %","1,00 %","2,00 %","5,65 %","0,33 %","0,33 %","0,47 %","5,06 %","4,91 %","5,23 %","13,90 %","233.664.898,96","61,30","0,35","0,11 %","0,00 %","0,11 %","-6,16 %",1,"33,96",5.194,N/A,N/A,N/A
EGAF11,INDEFINIDO,"99,30","1.120.287,57","1,01","1,20","1,21 %","3,83 %","8,12 %","18,96 %","1,28 %","1,35 %","1,58 %","14,88 %","-0,33 %","0,87 %","11,75 %","186.486.024,02","98,73","1,01","1,22 %","0,00 %","0,00 %","0,00 %",0,"8,34",12.058,N/A,N/A,N/A
ENDD11,N/A,"100,95","413.480,52",N/A,"0,42","0,40 %","8,05 %","13,44 %","19,99 %","2,68 %","2,24 %","2,86 %","8,05 %","5,22 %","5,64 %","34,96 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"19,63",0,N/A,N/A,N/A
EQIA11,FIAGRO,N/A,N/A,N/A,"0,45",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A
EQIR11,INDEFINIDO,"9,75","92.663,19","0,98","0,11","1,11 %","3,24 %","6,86 %","14,26 %","1,08 %","1,14 %","1,19 %","13,12 %","-3,89 %","-2,83 %","16,89 %","66.661.023,35","9,98","0,98","1,10 %","2,25 %","3,38 %","-89,15 %",0,"16,19",9.661,N/A,N/A,N/A
ERCR11,VAREJO,"76.000,00",N/A,"1,52","3.340,55",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"118.622.992,50","49.925,50","1,52","6,69 %","-24,96 %","-19,94 %","-15,06 %",0,N/A,10,N/A,N/A,N/A
ERPA11,LAJES CORPORATIVAS,"119,90","48.186,33","0,87","0,72","0,00 %","0,00 %","0,61 %","1,24 %","0,00 %","0,10 %","0,10 %","1,24 %","0,00 %","0,00 %",N/A,"68.715.190,27","137,18","0,87","0,52 %","0,08 %","0,61 %","23,77 %",2,"39,63",387,N/A,N/A,N/A
ESUD11,N/A,N/A,N/A,N/A,"182,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A
ESUT11,N/A,"20,02","6.006,00",N/A,"64,25","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"645,70",0,N/A,N/A,N/A
ESUU11,N/A,"1.199,98",N/A,N/A,"16,28","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A
EURO11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"246,04","51.945,05","0,76","1,88","0,75 %","2,27 %","4,55 %","9,26 %","0,76 %","0,76 %","0,77 %","9,26 %","0,61 %","1,37 %","19,20 %","124.950.893,67","325,45","0,76","0,58 %","0,22 %","0,80 %","12,29 %",7,"18,56",2.382,N/A,N/A,N/A
EVBI11,MISTO,"98,29","579.088,10","0,99","0,75","0,76 %","2,30 %","4,74 %","9,49 %","0,77 %","0,79 %","0,79 %","9,49 %","2,52 %","3,30 %","15,67 %","213.561.700,19","99,15","0,99","0,76 %","-0,59 %","0,16 %","8,17 %",7,"17,73",1.018,N/A,N/A,N/A
EXES11,INDEFINIDO,"88,44","618,67","0,97","0,78","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"52.339.735,42",N/A,N/A,N/A,N/A,N/A,N/A,0,"63,58",58,N/A,N/A,N/A
FAED11,EDUCACIONAL,"160,80","50.561,48","0,72","1,48","0,98 %","2,96 %","5,61 %","12,21 %","0,99 %","0,94 %","1,02 %","11,13 %","4,34 %","5,37 %","14,74 %","140.698.033,34","219,10","0,73","0,68 %","0,68 %","1,36 %","7,87 %",3,"17,50",4.616,N/A,N/A,N/A
FAMB11B,LAJES CORPORATIVAS,"830,00","89.113,70","0,28","9,16","0,56 %","2,18 %","4,80 %","10,11 %","0,73 %","0,80 %","0,84 %","5,64 %","-47,80 %","-47,51 %","-53,68 %","308.480.419,45","3.593,26","0,23","0,25 %","0,53 %","0,79 %","12,82 %",1,"59,59",2.556,N/A,N/A,N/A
FATN11,LAJES CORPORATIVAS,"92,69","651.706,81","0,93","0,85","0,92 %","2,76 %","5,39 %","10,74 %","0,92 %","0,90 %","0,90 %","9,76 %","0,25 %","1,17 %","8,35 %","260.096.558,61","99,28","0,93","0,86 %","0,27 %","1,13 %","6,65 %",43,"10,03",3.720,N/A,N/A,N/A
FCFL11,EDUCACIONAL,"115,55","225.721,29","0,99","0,86","0,77 %","2,26 %","4,31 %","8,77 %","0,75 %","0,72 %","0,73 %","8,08 %","-2,96 %","-2,22 %","6,27 %","406.736.469,28","117,08","0,99","0,73 %","0,78 %","1,52 %","19,68 %",1,"19,17",3.409,N/A,N/A,N/A
FEXC11,PAPÉIS,"83,50","860.137,12","0,10","0,50","0,00 %","1,08 %","4,14 %","11,48 %","0,36 %","0,69 %","0,96 %","0,00 %","0,00 %","0,00 %",N/A,"1.001.470.167,13","90,75","0,92","0,99 %","-1,13 %","-0,15 %","7,12 %",0,"14,57",36.232,N/A,N/A,N/A
FGAA11,INDEFINIDO,"9,50","1.833.945,62","0,99","0,11","1,16 %","3,53 %","7,41 %","15,71 %","1,18 %","1,24 %","1,31 %","14,32 %","-3,56 %","-2,44 %","8,97 %","432.074.667,61","9,58","0,99","1,15 %","0,00 %","0,00 %","0,00 %",0,"9,35",44.836,N/A,N/A,N/A
FIGS11,SHOPPINGS,"60,38","149.039,14","0,79","0,45","0,74 %","2,24 %","4,35 %","9,59 %","0,75 %","0,73 %","0,80 %","9,59 %","3,94 %","4,71 %","33,65 %","217.410.567,67","76,28","0,79","0,59 %","-0,26 %","0,33 %","-19,29 %",2,"16,36",14.685,N/A,N/A,N/A
FIIB11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"513,50","243.997,71","1,11","3,65","0,70 %","2,14 %","4,30 %","8,50 %","0,71 %","0,72 %","0,71 %","8,50 %","1,94 %","2,65 %","20,95 %","316.179.149,70","461,58","1,11","0,79 %","0,02 %","0,81 %","10,85 %",9,"15,45",16.582,N/A,N/A,N/A
FIIP11B,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"174,00","64.766,67","0,85","1,44","0,83 %","2,50 %","4,96 %","10,45 %","0,83 %","0,83 %","0,87 %","10,45 %","1,46 %","2,30 %","31,08 %","188.613.590,36","203,43","0,86","0,71 %","9,27 %","10,04 %","10,97 %",7,"21,69",7.508,N/A,N/A,N/A
FISC11,LAJES CORPORATIVAS,"65,00","3.888,60","0,57","0,38","0,58 %","0,58 %","0,58 %","0,58 %","0,19 %","0,10 %","0,05 %","0,58 %","0,00 %","0,00 %",N/A,"195.179.318,65","114,81","0,57","0,33 %","-0,22 %","0,11 %","0,61 %",5,"158,96",64,N/A,N/A,N/A
FLCR11,PAPÉIS,"97,46","51.502,19","1,00","1,00","1,02 %","3,18 %","6,45 %","14,04 %","1,06 %","1,08 %","1,17 %","12,83 %","0,77 %","1,80 %","15,31 %","61.961.332,25","97,79","1,00","1,02 %","-0,64 %","0,38 %","10,39 %",0,"9,34",2.714,N/A,N/A,N/A
FLMA11,LAJES CORPORATIVAS,"141,00","90.466,19","0,89","0,97","0,70 %","2,19 %","4,14 %","8,35 %","0,73 %","0,69 %","0,70 %","7,56 %","-1,30 %","-0,61 %","15,64 %","221.411.453,20","160,37","0,88","0,60 %","0,07 %","0,68 %","9,89 %",2,"15,31",14.968,N/A,N/A,N/A
FLRP11,SHOPPINGS,"1.999,99","224.552,47","1,10","13,50","0,68 %","1,37 %","3,40 %","7,37 %","0,46 %","0,57 %","0,61 %","7,37 %","1,57 %","2,26 %","22,66 %","119.041.075,82","1.824,89","1,10","0,74 %","-0,10 %","0,64 %","12,37 %",1,"48,97",785,N/A,N/A,N/A
FMOF11,LAJES CORPORATIVAS,"55,85","1.156,60","0,47","0,46","0,00 %","0,53 %","1,47 %","3,91 %","0,18 %","0,25 %","0,33 %","0,00 %","0,00 %","0,00 %",N/A,"60.456.376,18","118,65","0,47","0,13 %","0,05 %","0,18 %","-2,95 %",2,"50,32",266,N/A,N/A,N/A
FPAB11,LAJES CORPORATIVAS,"197,01","9.479,63","0,53","0,90","0,45 %","1,72 %","5,64 %","11,17 %","0,57 %","0,94 %","0,93 %","11,17 %","-1,38 %","-0,93 %","63,14 %","280.633.682,58","374,18","0,53","0,24 %","-0,22 %","0,02 %","-4,05 %",2,"43,89",923,N/A,N/A,N/A
FRHY11,INDEFINIDO,N/A,N/A,N/A,"1,03","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"5.204.346,34",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,7,N/A,N/A,N/A
FVPQ11,SHOPPINGS,"110,82","76.881,67","0,58","0,45","0,39 %","1,93 %","4,85 %","10,95 %","0,64 %","0,81 %","0,91 %","10,95 %","-0,21 %","0,18 %","26,48 %","537.534.328,72","191,97","0,58","0,51 %","-0,16 %","0,35 %","2,02 %",1,"20,04",3.987,N/A,N/A,N/A
FZDA11,INDEFINIDO,"120,01","149.602,33","0,54","2,26","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","0,00 %","0,00 %",N/A,"345.187.283,26","101,94","1,18","2,21 %","0,00 %","0,00 %","0,00 %",0,"45,88",461,N/A,N/A,N/A
GALG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"9,22","3.094.019,57","1,02","0,08","0,90 %","2,69 %","5,40 %","11,03 %","0,90 %","0,90 %","0,92 %","11,03 %","0,54 %","1,44 %","11,01 %","523.138.162,36","9,06","1,02","0,93 %","-2,69 %","-1,78 %","-90,24 %",5,"9,94",102.637,N/A,N/A,N/A
GAME11,INDEFINIDO,"9,30","139.563,05","0,95","0,10","1,11 %","3,28 %","6,50 %","13,41 %","1,09 %","1,08 %","1,12 %","12,28 %","-2,07 %","-0,98 %","15,29 %","212.502.623,26","9,79","0,95","1,02 %","-0,51 %","0,51 %","-98,83 %",0,"8,48",24.082,N/A,N/A,N/A
GCFF11,FUNDO DE FUNDOS,"69,30","87.694,83","0,89","3,07","0,00 %","2,25 %","5,27 %","11,25 %","0,75 %","0,88 %","0,94 %","3,26 %","0,00 %","0,00 %",N/A,"27.939.468,78","76,43","0,91","0,98 %","-6,08 %","-5,16 %","-9,01 %",0,"11,30",1.759,N/A,N/A,N/A
GCOI11,INDEFINIDO,"98,99","9.899,00","1,02","0,81","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"10.996.984,02",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,356,N/A,N/A,N/A
GCRA11,INDEFINIDO,"76,89","512.276,38","0,77","1,00","1,38 %","3,86 %","7,43 %","15,25 %","1,29 %","1,24 %","1,27 %","14,00 %","-16,06 %","-14,90 %","-14,59 %","172.073.260,88","98,28","0,78","1,02 %","0,29 %","1,31 %","14,21 %",0,"13,16",7.357,N/A,N/A,N/A
GCRI11,PAPÉIS,"88,50","268.575,43","0,93","0,95","1,12 %","3,25 %","6,49 %","13,74 %","1,08 %","1,08 %","1,15 %","12,57 %","-4,55 %","-3,48 %","1,94 %","138.059.164,05","94,96","0,93","1,00 %","0,63 %","1,63 %","3,80 %",0,"9,92",4.961,N/A,N/A,N/A
GESE11B,EDUCACIONAL,"1.520,00",N/A,"1,36","1.112,72",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"58.192.036,94","1.119,08","1,36","104,32 %","-36,85 %","29,02 %","33,17 %",1,N/A,56,N/A,N/A,N/A
GGRC11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"113,43","1.506.960,33","1,00","0,90","0,79 %","2,42 %","4,83 %","10,29 %","0,81 %","0,81 %","0,86 %","10,29 %","-0,08 %","0,71 %","8,69 %","1.023.607.101,41","118,54","0,96","0,78 %","-4,69 %","-3,95 %","-1,39 %",17,"15,52",106.483,N/A,N/A,N/A
GLOG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"65,50","60.045,14","0,61","0,63","0,95 %","2,95 %","5,68 %","11,63 %","0,98 %","0,95 %","0,97 %","11,63 %","4,43 %","5,42 %","0,81 %","79.893.171,44",N/A,N/A,N/A,N/A,N/A,N/A,1,"14,66",3.076,N/A,N/A,N/A
GRWA11,INDEFINIDO,"11,82","50.216,33","1,16","0,15","1,28 %","4,03 %","8,18 %","11,13 %","1,34 %","1,36 %","1,39 %","11,13 %","2,72 %","4,04 %","28,39 %","12.901.880,58","10,18","1,16","1,47 %","0,00 %","0,00 %","0,00 %",0,"7,78",1.801,N/A,N/A,N/A
GSFI11,SHOPPINGS,"7,89","1.131.462,33","0,55","0,00","0,03 %","0,03 %","0,03 %","0,03 %","0,01 %","0,00 %","0,00 %","0,03 %","0,00 %","0,03 %","0,03 %","1.085.985.604,43","11,90","0,66","0,01 %","0,01 %","0,02 %","0,02 %",9,"15,95",8.384,N/A,N/A,N/A
GTLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"63,99","22.885,25","1,06","60,62",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"434.811.690,70","60,62","1,06","100,00 %","-35,83 %","28,33 %","35,22 %",5,"45,26",341,N/A,N/A,N/A
GTWR11,LAJES CORPORATIVAS,"86,74","1.069.484,86","0,91","0,79","0,00 %","1,87 %","4,70 %","10,72 %","0,62 %","0,78 %","0,89 %","10,87 %","0,00 %","0,00 %",N/A,"1.141.710.582,02","95,14","0,91","0,83 %","0,46 %","1,30 %","6,64 %",3,"14,04",33.086,N/A,N/A,N/A
GURB11,INDEFINIDO,"108,00","5.967.344,50","0,97","0,70","0,65 %","0,65 %","0,65 %","1,48 %","0,22 %","0,11 %","0,12 %","1,48 %","0,00 %","0,00 %",N/A,"126.265.858,15",N/A,N/A,N/A,N/A,N/A,N/A,2,"10,62",21,N/A,N/A,N/A
GZIT11,INDEFINIDO,N/A,N/A,N/A,"0,32","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"1.878.025.492,35",N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,1,N/A,N/A,N/A
HAAA11,LAJES CORPORATIVAS,"49,99","2.077,35","0,60","0,37","0,72 %","1,86 %","3,29 %","6,60 %","0,62 %","0,55 %","0,55 %","6,60 %","8,13 %","8,91 %","-34,91 %","278.340.977,41","80,56","0,62","0,36 %","-10,15 %","-9,83 %","-8,37 %",2,"34,14",320,N/A,N/A,N/A
HABT11,PAPÉIS,"89,71","1.499.564,43","0,91","0,98","1,08 %","3,34 %","6,68 %","14,94 %","1,11 %","1,11 %","1,25 %","14,94 %","3,29 %","4,41 %","17,33 %","795.478.655,10","97,88","0,92","1,02 %","-1,90 %","-0,90 %","16,03 %",0,"13,36",70.629,N/A,N/A,N/A
HBCR11,INDEFINIDO,"117,39","7.143.360,00","0,98","0,69","0,58 %","1,12 %","1,57 %","3,11 %","0,37 %","0,26 %","0,26 %","3,11 %","0,00 %","0,00 %",N/A,"137.023.129,32",N/A,N/A,N/A,N/A,N/A,N/A,4,"23,42",39,N/A,N/A,N/A
HBRH11,LAJES CORPORATIVAS,"91,27","370.123,33","0,83","0,66","0,71 %","1,53 %","3,20 %","7,14 %","0,51 %","0,53 %","0,60 %","7,14 %","-3,09 %","-2,40 %","15,48 %","310.368.655,07","111,96","0,82","0,21 %","-1,10 %","-0,89 %","7,09 %",5,"13,33",970,N/A,N/A,N/A
HCHG11,PAPÉIS,"75,81","34.887,81","0,79","0,69","0,86 %","2,23 %","4,81 %","12,06 %","0,74 %","0,80 %","1,01 %","12,06 %","2,30 %","3,18 %","5,26 %","117.306.421,92","97,76","0,78","0,53 %","-3,32 %","-2,81 %","12,24 %",0,"31,48",1.003,N/A,N/A,N/A
HCRA11,INDEFINIDO,"105,50","1.519,10",N/A,"1,10","1,07 %","3,34 %","7,14 %","9,57 %","1,11 %","1,19 %","0,80 %","9,57 %","0,00 %","1,07 %","6,68 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"21,05",0,N/A,N/A,N/A
HCRI11,HOSPITALAR,"301,51","61.822,67","0,97","3,00","0,99 %","2,94 %","5,74 %","12,79 %","0,98 %","0,96 %","1,07 %","11,26 %","3,22 %","4,24 %","49,41 %","62.411.469,79","312,06","0,97","0,96 %","1,33 %","2,31 %","9,49 %",1,"20,70",3.085,N/A,N/A,N/A
HCTR11,PAPÉIS,"39,05","1.603.373,48","0,34","0,34","0,93 %","2,74 %","5,00 %","10,67 %","0,91 %","0,83 %","0,89 %","9,58 %","-3,26 %","-2,36 %","-60,34 %","2.524.648.131,41","114,32","0,34","0,30 %","-5,82 %","-5,54 %","11,37 %",0,"54,54",193.383,N/A,N/A,N/A
HDEL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"107,50","21.500,00","1,16","5,95","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"77.645.335,18",N/A,N/A,N/A,N/A,N/A,N/A,0,"7,30",59,N/A,N/A,N/A
HFOF11,FUNDO DE FUNDOS,"78,75","2.897.327,48","0,98","0,63","0,79 %","2,49 %","4,83 %","10,33 %","0,83 %","0,81 %","0,86 %","10,33 %","9,27 %","10,14 %","27,23 %","1.832.478.408,37","79,52","0,99","0,79 %","-1,68 %","-0,90 %","3,21 %",0,"14,46",77.182,N/A,N/A,N/A
HGAG11,INDEFINIDO,"23,86","14.549,90","0,93","0,33","1,40 %","2,79 %","5,19 %","13,36 %","0,93 %","0,87 %","1,11 %","13,36 %","4,68 %","6,14 %","-0,79 %","5.880.090,79","23,69","1,01","0,68 %","0,00 %","0,00 %","0,00 %",0,"102,51",1.386,N/A,N/A,N/A
HGBS11,SHOPPINGS,"229,36","5.834.023,29","1,01","2,00","0,87 %","2,64 %","5,05 %","9,45 %","0,88 %","0,84 %","0,79 %","9,45 %","3,38 %","4,28 %","33,34 %","2.859.311.432,23","224,62","1,02","0,89 %","1,22 %","2,12 %","13,06 %",13,"11,18",102.934,N/A,N/A,N/A
HGCR11,PAPÉIS,"104,60","3.333.158,95","1,04","1,00","0,95 %","2,85 %","5,93 %","12,92 %","0,95 %","0,99 %","1,08 %","12,92 %","1,19 %","2,16 %","17,02 %","1.570.752.046,51","101,88","1,03","0,98 %","0,91 %","1,90 %","15,88 %",0,"10,75",104.345,N/A,N/A,N/A
